"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.345509380E-1,-5.937273502E-1,5.018795133E-1,6.198305488E-1,9.942761797E-1
5.369958860E-1,-6.151075959E-1,4.597298205E-1,6.137219071E-1,9.830378638E-1
5.394416670E-1,-6.401530504E-1,4.133041203E-1,6.063915491E-1,9.738207919E-1
5.418866150E-1,-6.688637137E-1,3.723761737E-1,5.972285867E-1,9.709400945E-1
5.443307820E-1,-6.823027134E-1,3.406112194E-1,5.880655646E-1,9.630026499E-1
5.467757300E-1,-7.159003019E-1,3.070136607E-1,5.764591694E-1,9.690592366E-1
5.492215110E-1,-7.226198316E-1,2.868551016E-1,5.685179234E-1,9.631603706E-1
5.516664590E-1,-7.488870025E-1,2.569227517E-1,5.575223565E-1,9.683347669E-1
5.541106260E-1,-7.519413233E-1,2.440945953E-1,5.501919985E-1,9.631765987E-1
5.565556260E-1,-7.653803229E-1,2.214926034E-1,5.416398644E-1,9.634519993E-1
5.590013550E-1,-7.666020989E-1,2.086644471E-1,5.355312228E-1,9.581301165E-1
5.614463550E-1,-7.641586065E-1,1.885059029E-1,5.312551856E-1,9.495814465E-1
5.638905220E-1,-7.659912109E-1,1.689582318E-1,5.269790888E-1,9.449848567E-1
5.663354700E-1,-7.494978905E-1,1.487997025E-1,5.245356560E-1,9.268366057E-1
5.687812510E-1,-7.513304353E-1,1.237542480E-1,5.220922232E-1,9.232512260E-1
5.712261990E-1,-7.293393016E-1,1.011522561E-1,5.214813352E-1,9.022806541E-1
5.736703650E-1,-7.268958688E-1,5.472653359E-2,5.178161263E-1,8.941510713E-1
5.761153130E-1,-6.994069815E-1,1.257687248E-2,5.159835815E-1,8.692337775E-1
5.785610950E-1,-6.835244894E-1,-5.522911623E-2,5.092640519E-1,8.541696889E-1
5.810060420E-1,-6.578681469E-1,-1.267002821E-1,5.031554103E-1,8.378596703E-1
5.834502090E-1,-6.395422220E-1,-2.109996229E-1,4.946032465E-1,8.355641603E-1
5.858951570E-1,-6.322118640E-1,-2.995750308E-1,4.811642468E-1,8.490913216E-1
5.883409380E-1,-6.059446335E-1,-3.844852149E-1,4.677252173E-1,8.566006411E-1
5.907858860E-1,-6.089989543E-1,-4.852778912E-1,4.493992627E-1,8.990739988E-1
5.932300530E-1,-6.071664095E-1,-5.817945004E-1,4.274081290E-1,9.432993153E-1
5.956750530E-1,-6.120532751E-1,-6.777002811E-1,4.035844207E-1,9.983823252E-1
5.981207820E-1,-6.212162971E-1,-7.693299651E-1,3.767063618E-1,1.058152147E0
6.005657820E-1,-6.279357672E-1,-8.560727239E-1,3.449414074E-1,1.116310177E0
6.030099490E-1,-6.352661848E-1,-9.354851842E-1,3.089003861E-1,1.172226558E0
6.054548970E-1,-6.370987296E-1,-1.008178115E0,2.716376483E-1,1.223153676E0
6.079006780E-1,-6.316009760E-1,-1.070486307E0,2.313205749E-1,1.264266560E0
6.103456260E-1,-6.254923344E-1,-1.117522836E0,1.867274493E-1,1.294204423E0
6.127897920E-1,-6.126641631E-1,-1.151731253E0,1.415234655E-1,1.312200879E0
6.152347400E-1,-5.967816710E-1,-1.164559484E0,9.509773552E-2,1.312017810E0
6.176805220E-1,-5.778448582E-1,-1.157839894E0,4.867202044E-2,1.294938943E0
6.201254700E-1,-5.552428961E-1,-1.134016156E0,2.857164014E-3,1.262654141E0
6.225696360E-1,-5.326408744E-1,-1.091866493E0,-4.417941719E-2,1.215660545E0
6.250146360E-1,-5.063737035E-1,-1.037499547E0,-9.182687104E-2,1.158124264E0
6.274603650E-1,-4.776630700E-1,-9.758022428E-1,-1.400851756E-1,1.095434107E0
6.299053130E-1,-4.471198320E-1,-9.055528045E-1,-1.859000325E-1,1.026888917E0
6.323495320E-1,-4.116896689E-1,-8.316381574E-1,-2.311040163E-1,9.563051159E-1
6.347944800E-1,-3.744269311E-1,-7.595561147E-1,-2.750862837E-1,8.903895112E-1
6.372402090E-1,-3.328881264E-1,-6.868632436E-1,-3.178468347E-1,8.268145078E-1
6.396852090E-1,-2.876841426E-1,-6.196681261E-1,-3.581638932E-1,7.713832555E-1
6.421293760E-1,-2.406475395E-1,-5.530838370E-1,-3.984809518E-1,7.229108092E-1
6.445743240E-1,-1.923892200E-1,-4.901648164E-1,-4.357437193E-1,6.834820759E-1
6.470201050E-1,-1.435200423E-1,-4.223588407E-1,-4.711738527E-1,6.488372618E-1
6.494650530E-1,-9.526173770E-2,-3.527202606E-1,-5.047714114E-1,6.231216243E-1
6.519092200E-1,-4.822515696E-2,-2.781947553E-1,-5.353146195E-1,6.052104837E-1
6.543541670E-1,3.315787762E-5,-2.006149143E-1,-5.658578873E-1,6.003677985E-1
6.567999490E-1,4.706974328E-2,-1.193699092E-1,-5.945684910E-1,6.082568754E-1
6.592448970E-1,9.349545836E-2,-3.568144515E-2,-6.202248335E-1,6.282462975E-1
6.616890630E-1,1.405320466E-1,4.739616066E-2,-6.422159672E-1,6.591183510E-1
6.641340630E-1,1.875686347E-1,1.280303001E-1,-6.611527801E-1,6.990684867E-1
6.665797920E-1,2.364378124E-1,2.068318576E-1,-6.788678169E-1,7.480265833E-1
6.690247920E-1,2.840852439E-1,2.795247436E-1,-6.923068762E-1,7.988287169E-1
6.714689590E-1,3.335652947E-1,3.442763984E-1,-7.026915550E-1,8.506276893E-1
6.739139070E-1,3.775475621E-1,4.004759490E-1,-7.118545175E-1,8.998110921E-1
6.763596880E-1,4.184754789E-1,4.481233954E-1,-7.173523307E-1,9.436793260E-1
6.788046360E-1,4.569599628E-1,4.817209542E-1,-7.216283679E-1,9.806196952E-1
6.812488030E-1,4.887249172E-1,5.037121177E-1,-7.259044051E-1,1.009710428E0
6.836937510E-1,5.156029463E-1,5.153185725E-1,-7.301805019E-1,1.031776718E0
6.861395320E-1,5.369832516E-1,5.104316473E-1,-7.332348228E-1,1.042364996E0
6.885844800E-1,5.546982884E-1,4.890513122E-1,-7.399542928E-1,1.046132751E0
6.910286470E-1,5.656938553E-1,4.493451416E-1,-7.485064268E-1,1.040279994E0
6.934735950E-1,5.730242729E-1,3.980324864E-1,-7.595019937E-1,1.031324370E0
6.959193760E-1,5.699699521E-1,3.436655402E-1,-7.729409933E-1,1.020004671E0
6.983643240E-1,5.565308928E-1,2.911311686E-1,-7.869908810E-1,1.006895545E0
7.008084900E-1,5.363723636E-1,2.373750955E-1,-7.985973358E-1,9.908581902E-1
7.032534900E-1,5.137704015E-1,1.762886196E-1,-8.108146191E-1,9.759395726E-1
7.056992200E-1,4.966661930E-1,1.078717709E-1,-8.218101859E-1,9.662740853E-1
7.081442200E-1,4.801728129E-1,3.212454170E-2,-8.297514319E-1,9.592107981E-1
7.105883860E-1,4.685663879E-1,-4.606614634E-2,-8.364709616E-1,9.598751061E-1
7.130333340E-1,4.594034255E-1,-1.193699092E-1,-8.364709616E-1,9.617610681E-1
7.154791150E-1,4.471861124E-1,-1.871758997E-1,-8.346383572E-1,9.652105593E-1
7.179240630E-1,4.337471128E-1,-2.452080399E-1,-8.273079395E-1,9.657649649E-1
7.203682300E-1,4.160320163E-1,-2.928555012E-1,-8.181449771E-1,9.634356163E-1
7.228131780E-1,3.946517706E-1,-3.258422017E-1,-8.071494102E-1,9.557265984E-1
7.252589590E-1,3.689954281E-1,-3.521093726E-1,-7.961538434E-1,9.455155094E-1
7.277039070E-1,3.500586450E-1,-3.893721402E-1,-7.833257318E-1,9.422053494E-1
7.301480740E-1,3.470043242E-1,-4.467934072E-1,-7.704975605E-1,9.558780469E-1
7.325930740E-1,3.500586450E-1,-5.054363608E-1,-7.546150684E-1,9.733708807E-1
7.350388030E-1,3.537238240E-1,-5.591924787E-1,-7.381217480E-1,9.912822437E-1
7.374838030E-1,3.579998910E-1,-6.019530296E-1,-7.167414427E-1,1.002112602E0
7.399279700E-1,3.598324656E-1,-6.318854094E-1,-6.910851598E-1,1.003173600E0
7.423729170E-1,3.561672866E-1,-6.422700882E-1,-6.666505337E-1,9.918613493E-1
7.448186470E-1,3.525021076E-1,-6.441026926E-1,-6.403833628E-1,9.742776123E-1
7.472636470E-1,3.531129658E-1,-6.477679014E-1,-6.208357215E-1,9.642245661E-1
7.497078130E-1,3.610542119E-1,-6.557091475E-1,-6.031206250E-1,9.612851389E-1
7.521527610E-1,3.769366741E-1,-6.648721099E-1,-5.915141702E-1,9.664497878E-1
7.545985420E-1,3.940408826E-1,-6.691481471E-1,-5.872381330E-1,9.735892793E-1
7.570434900E-1,4.141994417E-1,-6.630395055E-1,-5.860164165E-1,9.770352111E-1
7.594876570E-1,4.313036501E-1,-6.459352970E-1,-5.878490210E-1,9.740748010E-1
7.619326050E-1,4.490187168E-1,-6.141703129E-1,-5.902924538E-1,9.629476425E-1
7.643783860E-1,4.673446715E-1,-5.720206499E-1,-5.957902670E-1,9.489914163E-1
7.668233340E-1,4.826162755E-1,-5.158210993E-1,-5.994554162E-1,9.264646091E-1
7.692675010E-1,4.972770214E-1,-4.583998322E-1,-6.037314534E-1,9.065905967E-1
7.717125010E-1,5.125486255E-1,-4.089198112E-1,-6.104509830E-1,8.958637777E-1
7.741582300E-1,5.247659683E-1,-3.624940813E-1,-6.202248335E-1,8.896404468E-1
7.766032300E-1,5.345397592E-1,-3.270639181E-1,-6.263334751E-1,8.860006674E-1
7.790473970E-1,5.430918932E-1,-3.032402098E-1,-6.330530047E-1,8.875018513E-1
7.814923450E-1,5.473679304E-1,-2.867468596E-1,-6.403833628E-1,8.899023902E-1
7.839381260E-1,5.485896468E-1,-2.788056135E-1,-6.483246088E-1,8.938724568E-1
7.863830740E-1,5.455353260E-1,-2.818599343E-1,-6.513789296E-1,8.951806100E-1
7.888272400E-1,5.443136096E-1,-2.952989638E-1,-6.544332504E-1,9.009781700E-1
7.912721880E-1,5.400375724E-1,-3.136249185E-1,-6.568766832E-1,9.063598325E-1
7.937179700E-1,5.369832516E-1,-3.398920894E-1,-6.550441384E-1,9.126666797E-1
7.961629170E-1,5.308746099E-1,-3.686027229E-1,-6.495463252E-1,9.163003042E-1
7.986070840E-1,5.253767967E-1,-3.973133862E-1,-6.409942508E-1,9.191040936E-1
8.010520840E-1,5.137704015E-1,-4.211370945E-1,-6.281660795E-1,9.142806469E-1
8.034978130E-1,5.021639466E-1,-4.370195866E-1,-6.147270203E-1,9.061148149E-1
8.059427610E-1,4.856705964E-1,-4.455716908E-1,-6.012880206E-1,8.921644151E-1
