"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.253997041E0,2.442681122E1,2.890652847E1,1.823079491E1,4.200736099E1
3.263997041E0,2.534657669E1,3.142417717E1,1.806975365E1,4.423170647E1
3.273997041E0,2.381175613E1,2.918274307E1,1.759324074E1,4.157107580E1
3.283997041E0,2.242517471E1,2.904443741E1,1.957228851E1,4.158776602E1
3.293997041E0,2.288405228E1,3.009951782E1,2.065483665E1,4.308460397E1
3.303997041E0,2.242179489E1,3.039196396E1,2.094948006E1,4.318899251E1
3.313997041E0,2.180644989E1,3.038262558E1,2.093428230E1,4.285871404E1
3.323997041E0,2.242219543E1,3.009714890E1,2.095290565E1,4.298392112E1
3.333997041E0,2.381019211E1,2.920359039E1,1.898583794E1,4.219285463E1
3.343997041E0,2.411867905E1,2.948686218E1,1.790688133E1,4.209325503E1
3.353997041E0,2.412054443E1,2.786999893E1,1.823517990E1,4.112249129E1
3.363997041E0,2.581388092E1,2.831474304E1,1.672450447E1,4.180658048E1
3.373997041E0,2.581231689E1,2.833559036E1,1.811710358E1,4.239588219E1
3.383997041E0,2.581508255E1,2.656204224E1,1.782818222E1,4.110723362E1
3.393997041E0,2.796758270E1,2.834742737E1,1.677769661E1,4.321172785E1
3.403997041E0,2.827678680E1,2.760810089E1,1.632965660E1,4.276028054E1
3.413997041E0,2.750854874E1,2.628132629E1,1.709973526E1,4.171126121E1
3.423997041E0,2.704687119E1,2.714488220E1,1.614966393E1,4.158352457E1
