"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.482174630E-1,9.060011864E0,-3.137778044E0,-2.137199342E-1,9.590367158E0
5.506220470E-1,8.890030861E0,-3.049196243E0,-1.920712352E0,9.592673370E0
5.530263180E-1,8.629074097E0,-3.118625164E0,-7.595744133E-1,9.206720153E0
5.554307970E-1,8.492609978E0,-3.077925682E0,-1.334158182E0,9.131157035E0
5.578352760E-1,8.298687935E0,-3.097078323E0,-2.026052713E0,9.086528775E0
5.602404320E-1,8.150253296E0,-3.149748564E0,-8.768852949E-1,8.781598523E0
5.626451200E-1,8.095190048E0,-3.077925682E0,-2.732311726E0,9.081368608E0
5.650495470E-1,7.901268482E0,-3.159324884E0,-1.532868385E0,8.646447990E0
5.674549110E-1,7.884509563E0,-3.123413324E0,-2.466566563E0,8.832052562E0
5.698594430E-1,7.774380684E0,-3.161719084E0,-2.914263248E0,8.884277847E0
5.722633490E-1,7.673828602E0,-3.202418566E0,-2.028446674E0,8.559072730E0
5.746676720E-1,7.657069683E0,-3.171295404E0,-3.898238182E0,9.158825885E0
5.770721510E-1,7.499059200E0,-3.274241686E0,-2.643730164E0,8.599177675E0
5.794769430E-1,7.482300758E0,-3.238330126E0,-3.883873463E0,9.030840477E0
5.818815260E-1,7.398507118E0,-3.286211967E0,-4.199894428E0,9.120099225E0
5.842859530E-1,7.336260796E0,-3.302970886E0,-3.543911457E0,8.791453097E0
5.866907450E-1,7.345837116E0,-3.291000366E0,-5.339485645E0,9.659301906E0
5.890949110E-1,7.266831875E0,-3.365217209E0,-3.958090305E0,8.932973258E0
5.914988700E-1,7.321896076E0,-3.300576687E0,-5.358638287E0,9.654997302E0
5.939030880E-1,7.264437675E0,-3.343670607E0,-5.473555088E0,9.690820046E0
5.963072030E-1,7.245284557E0,-3.334094048E0,-4.970794201E0,9.397825622E0
5.987118380E-1,7.183038235E0,-3.302970886E0,-6.694545269E0,1.035966174E1
6.011162130E-1,7.068121433E0,-3.322123528E0,-5.246115685E0,9.408324777E0
